# model, width, index, mrr_ip, mrr_l2, avg_norm
1, 32, 0, 1.0, 1.0, 9.26723575592041
1, 32, 1, 0.9782385714285712, 0.9979, 33.552154541015625
1, 32, 2, 0.9691319047619047, 0.9964666666666668, 15.134659767150879
1, 32, 3, 0.8818404106534308, 0.9714050980392158, 22.52782440185547
1, 32, 4, 0.8935290675019555, 0.9534897619047619, 10.133331298828125
1, 32, 5, 0.8513905770105535, 0.9469028737928736, 2.1179659366607666
1, 32, 6, 0.8780260323797738, 0.9511221428571429, 1.8742519617080688
1, 32, 7, 0.513295392774685, 0.8757866667974898, 4.225545883178711
1, 32, 8, 0.7614194164362348, 0.8926580718938074, 3.207986354827881
1, 32, 9, 0.6917833597613069, 0.9111778636159328, 8.460750579833984
1, 32, 10, 0.8013921059460568, 0.9002043006843965, 5.414806365966797
1, 32, 11, 0.03175652920574458, 0.9613817717370348, 15.469443321228027
1, 32, 12, 0.9443721595071595, 0.9732771428571428, 6.610581398010254
1, 64, 0, 1.0, 1.0, 9.26723575592041
1, 64, 1, 0.9757557936507938, 0.9989, 19.35943031311035
1, 64, 2, 0.9763099999999999, 0.9976666666666666, 12.355676651000977
1, 64, 3, 0.9631394588744588, 0.9918133333333333, 13.836587905883789
1, 64, 4, 0.9678523272925904, 0.9932166666666667, 9.192034721374512
1, 64, 5, 0.9710075468975469, 0.9927, 2.5457019805908203
1, 64, 6, 0.9732073809523808, 0.9932066666666666, 2.3337507247924805
1, 64, 7, 0.3512464211626496, 0.9247851750749251, 2.4759838581085205
1, 64, 8, 0.7801867802631723, 0.9501726587301588, 2.043546199798584
1, 64, 9, 0.6881899588503659, 0.9278903990453992, 6.4565935134887695
1, 64, 10, 0.7595551402557363, 0.9203446703296703, 4.7105278968811035
1, 64, 11, 0.04956507530108933, 0.9895133333333331, 15.785327911376953
1, 64, 12, 0.9717333333333332, 0.9970666666666668, 6.908927917480469
1, 128, 0, 1.0, 1.0, 9.26723575592041
1, 128, 1, 0.9909833333333332, 1.0, 7.2950615882873535
1, 128, 2, 0.99015, 0.9999, 6.518622875213623
1, 128, 3, 0.98864, 0.9997, 4.893158435821533
1, 128, 4, 0.9889733333333334, 0.9998, 4.542581081390381
1, 128, 5, 0.9877833333333332, 0.9997, 2.152360439300537
1, 128, 6, 0.9885666666666668, 0.9997, 2.0862972736358643
1, 128, 7, 0.9733528665778667, 0.9997, 1.1746537685394287
1, 128, 8, 0.9735323110223111, 0.9998, 1.1638972759246826
1, 128, 9, 0.44479446370959075, 0.8944924565750727, 3.5601327419281006
1, 128, 10, 0.6176182162200264, 0.9190358718446511, 2.775973081588745
1, 128, 11, 0.0750903823303304, 0.99965, 15.37997817993164
1, 128, 12, 0.9806966666666667, 0.9999, 7.172084331512451
1, 256, 0, 1.0, 1.0, 9.26723575592041
1, 256, 1, 0.9887833333333332, 0.9993, 5.397403240203857
1, 256, 2, 0.9884, 0.9992, 5.076183795928955
1, 256, 3, 0.9868, 0.9991666666666666, 3.5738508701324463
1, 256, 4, 0.9879833333333334, 0.999, 3.4311938285827637
1, 256, 5, 0.9901666666666666, 0.9995, 2.242797374725342
1, 256, 6, 0.9898333333333332, 0.9992, 2.196690320968628
1, 256, 7, 0.991, 0.9998, 1.593369960784912
1, 256, 8, 0.9915833333333334, 0.9997, 1.574233055114746
1, 256, 9, 0.6768030400642688, 0.9984666666666666, 2.0514917373657227
1, 256, 10, 0.9597293131868131, 0.9996, 1.917348861694336
1, 256, 11, 0.18135009390136156, 0.9999, 13.118032455444336
1, 256, 12, 0.9853633333333334, 1.0, 7.336312294006348
