epoch [700/1000], loss_l2: 0.0612432, mrr_ip: 0.774, mrr_l2: 0.989
epoch [710/1000], loss_l2: 0.0601181, mrr_ip: 0.776, mrr_l2: 0.988
epoch [720/1000], loss_l2: 0.0599448, mrr_ip: 0.777, mrr_l2: 0.989
epoch [730/1000], loss_l2: 0.0608422, mrr_ip: 0.774, mrr_l2: 0.989
epoch [740/1000], loss_l2: 0.0606515, mrr_ip: 0.771, mrr_l2: 0.988
epoch [750/1000], loss_l2: 0.0605169, mrr_ip: 0.771, mrr_l2: 0.989
epoch [760/1000], loss_l2: 0.0607176, mrr_ip: 0.773, mrr_l2: 0.988
epoch [770/1000], loss_l2: 0.0611265, mrr_ip: 0.772, mrr_l2: 0.989
epoch [780/1000], loss_l2: 0.0606986, mrr_ip: 0.776, mrr_l2: 0.989
epoch [790/1000], loss_l2: 0.0612836, mrr_ip: 0.768, mrr_l2: 0.988
epoch [800/1000], loss_l2: 0.0608543, mrr_ip: 0.773, mrr_l2: 0.990
epoch [810/1000], loss_l2: 0.0601164, mrr_ip: 0.765, mrr_l2: 0.988
epoch [820/1000], loss_l2: 0.0602811, mrr_ip: 0.770, mrr_l2: 0.988
epoch [830/1000], loss_l2: 0.0611623, mrr_ip: 0.767, mrr_l2: 0.987
epoch [840/1000], loss_l2: 0.0615517, mrr_ip: 0.767, mrr_l2: 0.987
epoch [850/1000], loss_l2: 0.0610693, mrr_ip: 0.781, mrr_l2: 0.988
epoch [860/1000], loss_l2: 0.0603589, mrr_ip: 0.767, mrr_l2: 0.987
epoch [870/1000], loss_l2: 0.0608242, mrr_ip: 0.773, mrr_l2: 0.988
epoch [880/1000], loss_l2: 0.0597980, mrr_ip: 0.766, mrr_l2: 0.987
epoch [890/1000], loss_l2: 0.0615457, mrr_ip: 0.771, mrr_l2: 0.987
epoch [900/1000], loss_l2: 0.0602720, mrr_ip: 0.760, mrr_l2: 0.988
epoch [910/1000], loss_l2: 0.0607144, mrr_ip: 0.770, mrr_l2: 0.989
epoch [920/1000], loss_l2: 0.0608194, mrr_ip: 0.767, mrr_l2: 0.988
epoch [930/1000], loss_l2: 0.0605583, mrr_ip: 0.766, mrr_l2: 0.988
epoch [940/1000], loss_l2: 0.0605717, mrr_ip: 0.770, mrr_l2: 0.987
epoch [950/1000], loss_l2: 0.0603886, mrr_ip: 0.768, mrr_l2: 0.987
epoch [960/1000], loss_l2: 0.0601152, mrr_ip: 0.770, mrr_l2: 0.988
epoch [970/1000], loss_l2: 0.0600345, mrr_ip: 0.769, mrr_l2: 0.988
epoch [980/1000], loss_l2: 0.0611995, mrr_ip: 0.766, mrr_l2: 0.988
epoch [990/1000], loss_l2: 0.0604353, mrr_ip: 0.768, mrr_l2: 0.988
epoch [1000/1000], loss_l2: 0.0603938, mrr_ip: 0.770, mrr_l2: 0.989
